"DATUM","JAARTAL","KWARTAAL","MAAND","EERSTEDAGMAAND","LAATSTEDAGMAAND","PERIODEMAAND","PERIODE4WEKEN","EERSTEDAG4WEKEN","LAATSTEDAG4WEKEN","JAAR4WEKEN","VIERWEKENNUMMER","ISOWEEK","DAGOMS","DAGJAAR","DAGMAAND","DAGWEEK","EERSTEDAGWEEK","LAATSTEDAGWEEK"
15-01-21,"2021","1","1",01-01-21,31-01-21,"202101","202101",04-01-21,31-01-21,"2021","1","2","Vrijdag","15","15","5",11-01-21,17-01-21
16-01-21,"2021","1","1",01-01-21,31-01-21,"202101","202101",04-01-21,31-01-21,"2021","1","2","Zaterdag","16","16","6",11-01-21,17-01-21
17-01-21,"2021","1","1",01-01-21,31-01-21,"202101","202101",04-01-21,31-01-21,"2021","1","2","Zondag","17","17","7",11-01-21,17-01-21
18-01-21,"2021","1","1",01-01-21,31-01-21,"202101","202101",04-01-21,31-01-21,"2021","1","3","Maandag","18","18","1",18-01-21,24-01-21
19-01-21,"2021","1","1",01-01-21,31-01-21,"202101","202101",04-01-21,31-01-21,"2021","1","3","Dinsdag","19","19","2",18-01-21,24-01-21
20-01-21,"2021","1","1",01-01-21,31-01-21,"202101","202101",04-01-21,31-01-21,"2021","1","3","Woensdag","20","20","3",18-01-21,24-01-21
21-01-21,"2021","1","1",01-01-21,31-01-21,"202101","202101",04-01-21,31-01-21,"2021","1","3","Donderdag","21","21","4",18-01-21,24-01-21
22-01-21,"2021","1","1",01-01-21,31-01-21,"202101","202101",04-01-21,31-01-21,"2021","1","3","Vrijdag","22","22","5",18-01-21,24-01-21
23-01-21,"2021","1","1",01-01-21,31-01-21,"202101","202101",04-01-21,31-01-21,"2021","1","3","Zaterdag","23","23","6",18-01-21,24-01-21
24-01-21,"2021","1","1",01-01-21,31-01-21,"202101","202101",04-01-21,31-01-21,"2021","1","3","Zondag","24","24","7",18-01-21,24-01-21
25-01-21,"2021","1","1",01-01-21,31-01-21,"202101","202101",04-01-21,31-01-21,"2021","1","4","Maandag","25","25","1",25-01-21,31-01-21
26-01-21,"2021","1","1",01-01-21,31-01-21,"202101","202101",04-01-21,31-01-21,"2021","1","4","Dinsdag","26","26","2",25-01-21,31-01-21
27-01-21,"2021","1","1",01-01-21,31-01-21,"202101","202101",04-01-21,31-01-21,"2021","1","4","Woensdag","27","27","3",25-01-21,31-01-21
28-01-21,"2021","1","1",01-01-21,31-01-21,"202101","202101",04-01-21,31-01-21,"2021","1","4","Donderdag","28","28","4",25-01-21,31-01-21
29-01-21,"2021","1","1",01-01-21,31-01-21,"202101","202101",04-01-21,31-01-21,"2021","1","4","Vrijdag","29","29","5",25-01-21,31-01-21
30-01-21,"2021","1","1",01-01-21,31-01-21,"202101","202101",04-01-21,31-01-21,"2021","1","4","Zaterdag","30","30","6",25-01-21,31-01-21
31-01-21,"2021","1","1",01-01-21,31-01-21,"202101","202101",04-01-21,31-01-21,"2021","1","4","Zondag","31","31","7",25-01-21,31-01-21
01-02-21,"2021","1","2",01-02-21,28-02-21,"202102","202102",01-02-21,28-02-21,"2021","2","5","Maandag","32","1","1",01-02-21,07-02-21
02-02-21,"2021","1","2",01-02-21,28-02-21,"202102","202102",01-02-21,28-02-21,"2021","2","5","Dinsdag","33","2","2",01-02-21,07-02-21
03-02-21,"2021","1","2",01-02-21,28-02-21,"202102","202102",01-02-21,28-02-21,"2021","2","5","Woensdag","34","3","3",01-02-21,07-02-21
04-02-21,"2021","1","2",01-02-21,28-02-21,"202102","202102",01-02-21,28-02-21,"2021","2","5","Donderdag","35","4","4",01-02-21,07-02-21
05-02-21,"2021","1","2",01-02-21,28-02-21,"202102","202102",01-02-21,28-02-21,"2021","2","5","Vrijdag","36","5","5",01-02-21,07-02-21
06-02-21,"2021","1","2",01-02-21,28-02-21,"202102","202102",01-02-21,28-02-21,"2021","2","5","Zaterdag","37","6","6",01-02-21,07-02-21
07-02-21,"2021","1","2",01-02-21,28-02-21,"202102","202102",01-02-21,28-02-21,"2021","2","5","Zondag","38","7","7",01-02-21,07-02-21
08-02-21,"2021","1","2",01-02-21,28-02-21,"202102","202102",01-02-21,28-02-21,"2021","2","6","Maandag","39","8","1",08-02-21,14-02-21
09-02-21,"2021","1","2",01-02-21,28-02-21,"202102","202102",01-02-21,28-02-21,"2021","2","6","Dinsdag","40","9","2",08-02-21,14-02-21
10-02-21,"2021","1","2",01-02-21,28-02-21,"202102","202102",01-02-21,28-02-21,"2021","2","6","Woensdag","41","10","3",08-02-21,14-02-21
11-02-21,"2021","1","2",01-02-21,28-02-21,"202102","202102",01-02-21,28-02-21,"2021","2","6","Donderdag","42","11","4",08-02-21,14-02-21
12-02-21,"2021","1","2",01-02-21,28-02-21,"202102","202102",01-02-21,28-02-21,"2021","2","6","Vrijdag","43","12","5",08-02-21,14-02-21
13-02-21,"2021","1","2",01-02-21,28-02-21,"202102","202102",01-02-21,28-02-21,"2021","2","6","Zaterdag","44","13","6",08-02-21,14-02-21
14-02-21,"2021","1","2",01-02-21,28-02-21,"202102","202102",01-02-21,28-02-21,"2021","2","6","Zondag","45","14","7",08-02-21,14-02-21
15-02-21,"2021","1","2",01-02-21,28-02-21,"202102","202102",01-02-21,28-02-21,"2021","2","7","Maandag","46","15","1",15-02-21,21-02-21
16-02-21,"2021","1","2",01-02-21,28-02-21,"202102","202102",01-02-21,28-02-21,"2021","2","7","Dinsdag","47","16","2",15-02-21,21-02-21
17-02-21,"2021","1","2",01-02-21,28-02-21,"202102","202102",01-02-21,28-02-21,"2021","2","7","Woensdag","48","17","3",15-02-21,21-02-21
18-02-21,"2021","1","2",01-02-21,28-02-21,"202102","202102",01-02-21,28-02-21,"2021","2","7","Donderdag","49","18","4",15-02-21,21-02-21
19-02-21,"2021","1","2",01-02-21,28-02-21,"202102","202102",01-02-21,28-02-21,"2021","2","7","Vrijdag","50","19","5",15-02-21,21-02-21
20-02-21,"2021","1","2",01-02-21,28-02-21,"202102","202102",01-02-21,28-02-21,"2021","2","7","Zaterdag","51","20","6",15-02-21,21-02-21
21-02-21,"2021","1","2",01-02-21,28-02-21,"202102","202102",01-02-21,28-02-21,"2021","2","7","Zondag","52","21","7",15-02-21,21-02-21
22-02-21,"2021","1","2",01-02-21,28-02-21,"202102","202102",01-02-21,28-02-21,"2021","2","8","Maandag","53","22","1",22-02-21,28-02-21
23-02-21,"2021","1","2",01-02-21,28-02-21,"202102","202102",01-02-21,28-02-21,"2021","2","8","Dinsdag","54","23","2",22-02-21,28-02-21
24-02-21,"2021","1","2",01-02-21,28-02-21,"202102","202102",01-02-21,28-02-21,"2021","2","8","Woensdag","55","24","3",22-02-21,28-02-21
25-02-21,"2021","1","2",01-02-21,28-02-21,"202102","202102",01-02-21,28-02-21,"2021","2","8","Donderdag","56","25","4",22-02-21,28-02-21
26-02-21,"2021","1","2",01-02-21,28-02-21,"202102","202102",01-02-21,28-02-21,"2021","2","8","Vrijdag","57","26","5",22-02-21,28-02-21
27-02-21,"2021","1","2",01-02-21,28-02-21,"202102","202102",01-02-21,28-02-21,"2021","2","8","Zaterdag","58","27","6",22-02-21,28-02-21
28-02-21,"2021","1","2",01-02-21,28-02-21,"202102","202102",01-02-21,28-02-21,"2021","2","8","Zondag","59","28","7",22-02-21,28-02-21
01-03-21,"2021","1","3",01-03-21,31-03-21,"202103","202103",01-03-21,28-03-21,"2021","3","9","Maandag","60","1","1",01-03-21,07-03-21
02-03-21,"2021","1","3",01-03-21,31-03-21,"202103","202103",01-03-21,28-03-21,"2021","3","9","Dinsdag","61","2","2",01-03-21,07-03-21
03-03-21,"2021","1","3",01-03-21,31-03-21,"202103","202103",01-03-21,28-03-21,"2021","3","9","Woensdag","62","3","3",01-03-21,07-03-21
04-03-21,"2021","1","3",01-03-21,31-03-21,"202103","202103",01-03-21,28-03-21,"2021","3","9","Donderdag","63","4","4",01-03-21,07-03-21
05-03-21,"2021","1","3",01-03-21,31-03-21,"202103","202103",01-03-21,28-03-21,"2021","3","9","Vrijdag","64","5","5",01-03-21,07-03-21
06-03-21,"2021","1","3",01-03-21,31-03-21,"202103","202103",01-03-21,28-03-21,"2021","3","9","Zaterdag","65","6","6",01-03-21,07-03-21
07-03-21,"2021","1","3",01-03-21,31-03-21,"202103","202103",01-03-21,28-03-21,"2021","3","9","Zondag","66","7","7",01-03-21,07-03-21
08-03-21,"2021","1","3",01-03-21,31-03-21,"202103","202103",01-03-21,28-03-21,"2021","3","10","Maandag","67","8","1",08-03-21,14-03-21
09-03-21,"2021","1","3",01-03-21,31-03-21,"202103","202103",01-03-21,28-03-21,"2021","3","10","Dinsdag","68","9","2",08-03-21,14-03-21
10-03-21,"2021","1","3",01-03-21,31-03-21,"202103","202103",01-03-21,28-03-21,"2021","3","10","Woensdag","69","10","3",08-03-21,14-03-21
11-03-21,"2021","1","3",01-03-21,31-03-21,"202103","202103",01-03-21,28-03-21,"2021","3","10","Donderdag","70","11","4",08-03-21,14-03-21
12-03-21,"2021","1","3",01-03-21,31-03-21,"202103","202103",01-03-21,28-03-21,"2021","3","10","Vrijdag","71","12","5",08-03-21,14-03-21
13-03-21,"2021","1","3",01-03-21,31-03-21,"202103","202103",01-03-21,28-03-21,"2021","3","10","Zaterdag","72","13","6",08-03-21,14-03-21
14-03-21,"2021","1","3",01-03-21,31-03-21,"202103","202103",01-03-21,28-03-21,"2021","3","10","Zondag","73","14","7",08-03-21,14-03-21
15-03-21,"2021","1","3",01-03-21,31-03-21,"202103","202103",01-03-21,28-03-21,"2021","3","11","Maandag","74","15","1",15-03-21,21-03-21
16-03-21,"2021","1","3",01-03-21,31-03-21,"202103","202103",01-03-21,28-03-21,"2021","3","11","Dinsdag","75","16","2",15-03-21,21-03-21
17-03-21,"2021","1","3",01-03-21,31-03-21,"202103","202103",01-03-21,28-03-21,"2021","3","11","Woensdag","76","17","3",15-03-21,21-03-21
18-03-21,"2021","1","3",01-03-21,31-03-21,"202103","202103",01-03-21,28-03-21,"2021","3","11","Donderdag","77","18","4",15-03-21,21-03-21
19-03-21,"2021","1","3",01-03-21,31-03-21,"202103","202103",01-03-21,28-03-21,"2021","3","11","Vrijdag","78","19","5",15-03-21,21-03-21
